"","type","adm.type2","y2016","y2017","y2018","y2019","y2020","y2021","y2022","y2023","y2024","y2025","y2026","y2027","y2028","y2029","y2030"
"1","admission","New_A",593,659,697,634,664,669,678,683,691,697,705,710,719,724,732
"2","admission","New_B",3513,3533,3429,2976,2710,2665,2619,2575,2531,2486,2440,2395,2350,2306,2261
"3","admission","New_C",2630,2773,2661,2343,2146,2115,2084,2054,2024,1993,1962,1931,1900,1869,1838
"4","admission","New_D",4076,4126,4080,3538,3361,3323,3285,3248,3209,3171,3133,3096,3057,3019,2980
"5","admission","New_E",1735,1743,1642,1598,1404,1382,1360,1337,1314,1293,1271,1249,1227,1204,1182
"6","admission","TPV",8378,8350,7625,7523,7224,7155,7085,7017,6948,6878,6808,6740,6670,6601,6532
"7","admission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","total","New_A",7263,7147,7002,6713,6473,6425,6378,6332,6285,6237,6189,6143,6096,6048,6001
"9","total","New_B",14175,14003,13859,13379,12646,12547,12449,12351,12253,12154,12057,11959,11860,11762,11663
"10","total","New_C",9232,9051,8807,8483,7850,7762,7672,7584,7495,7408,7318,7230,7140,7052,6962
"11","total","New_D",10099,9839,9517,8516,7584,7438,7290,7144,6999,6852,6705,6559,6412,6266,6119
"12","total","New_E",3984,4002,3613,3127,2773,2703,2634,2562,2492,2422,2353,2282,2211,2141,2072
"13","total","Other",1356,1373,1356,1266,1160,1146,1133,1120,1107,1093,1080,1067,1053,1040,1028
"14","total","TPV",4954,4859,4414,4293,3427,3343,3258,3173,3087,3003,2919,2834,2749,2664,2579
"15","total",NA,340,319,283,260,210,204,198,192,185,180,174,168,162,156,149
