"",".","Freq"
"1","0",0.180985915492958
"2","1",0.107746478873239
"3","2",0.0669014084507042
"4","3",0.0924295774647887
"5","4",0.123415492957746
"6","5",0.0811619718309859
"7","6",0.0762323943661972
"8","7",0.0677816901408451
"9","8",0.0823943661971831
"10","9",0.0473591549295775
"11","10",0.0246478873239437
"12","11",0.0190140845070423
"13","12",0.0128521126760563
"14","13",0.010387323943662
"15","14",0.00545774647887324
"16","15",0.00105633802816901
"17","16",0.000176056338028169
