"","max.sent.group","yrs.from.elig","propRel","propRel.board","propRel.CR","propTotal","cumPropRel.board","cumPropRel.CR"
"1","Less than 10yrs",-1,0.027,0.027,0,1,0.027,0
"2","Less than 10yrs",0,0.522,0.325,0.196,1,0.352,0.196
"3","Less than 10yrs",1,0.244,0.073,0.171,1,0.425,0.368
"4","Less than 10yrs",2,0.042,0.027,0.016,1,0.452,0.383
"5","Less than 10yrs",3,0.004,0.003,0.001,1,0.455,0.384
"6","Less than 10yrs",4,0.059,0.027,0.031,1,0.483,0.415
"7","Less than 10yrs",5,0.027,0.02,0.008,1,0.502,0.423
"8","Less than 10yrs",6,0.01,0.01,0,1,0.512,0.423
"9","Less than 10yrs",7,0.004,0.004,0,1,0.516,0.423
"10","Less than 10yrs",NA,0.061,0,0,1,0.516,0.423
"11","10yrs or longer",-1,0.006,0.006,0,1,0.006,0
"12","10yrs or longer",0,0.443,0.125,0.318,1,0.131,0.318
"13","10yrs or longer",1,0.122,0.073,0.05,1,0.204,0.367
"14","10yrs or longer",2,0.102,0.064,0.038,1,0.268,0.405
"15","10yrs or longer",3,0.041,0.041,0,1,0.309,0.405
"16","10yrs or longer",4,0.089,0.045,0.045,1,0.354,0.45
"17","10yrs or longer",5,0.058,0.009,0.049,1,0.363,0.499
"18","10yrs or longer",6,0.022,0.018,0.004,1,0.38,0.503
"19","10yrs or longer",7,0.004,0.004,0,1,0.385,0.503
"20","10yrs or longer",NA,0.112,0,0,1,0.385,0.503
"21","Life",-1,0.003,0.003,0,1,0.003,0
"22","Life",0,0.317,0.312,0.005,1,0.315,0.005
"23","Life",1,0.159,0.159,0,1,0.473,0.005
"24","Life",2,0.22,0.22,0,1,0.693,0.005
"25","Life",3,0.069,0.069,0,1,0.762,0.005
"26","Life",4,0.06,0.06,0,1,0.822,0.005
"27","Life",5,0.033,0.033,0,1,0.856,0.005
"28","Life",6,0.027,0.027,0,1,0.882,0.005
"29","Life",7,0.022,0.022,0,1,0.905,0.005
"30","Life",NA,0.09,0,0,1,0.905,0.005
